test_name,machine,compiler,core_mean,core_std,core_min,core_max,mem_mean,mem_std,mem_min,mem_max,n_hashes
cpld_warmstart_c24_5deg_intel,acorn,intel,54.87234042553192,5.232079232865497,39,66,2111.9574468085107,2.89645545608186,2108,2121,47
cpld_warmstart_c24_5deg_intel,derecho,intel,31.2,1.1352924243950935,30,33,212313.6,664772.0422457611,2077,2104288,10
cpld_warmstart_c24_5deg_intel,gaeac6,intel,28.47826086956522,15.816642613869707,24,132,140358.0,933940.9169476288,2077,6336944,46
cpld_warmstart_c24_5deg_intel,hera,intel,42.083333333333336,1.4707551010878355,36,46,2260.1041666666665,4.439856157020758,2250,2268,48
cpld_warmstart_c24_5deg_intel,hercules,intel,55.630434782608695,33.74437151134471,29,122,343265.4130434783,813851.4485502342,2228,2249100,46
cpld_warmstart_c24_5deg_intel,orion,intel,68.58695652173913,38.135184154942806,46,245,99731.58695652174,462326.75784415967,2226,2245140,46
cpld_warmstart_c24_5deg_intel,ursa,intel,86.9795918367347,232.88449298918533,30,1236,47284.816326530614,315525.46429690596,2197,2210888,49
cpld_warmstart_c24_5deg_intel,wcoss2,intel,87.7872340425532,23.888269060459418,59,196,2112.553191489362,1.2124088605512895,2111,2116,47
