test_name,machine,compiler,core_mean,core_std,core_min,core_max,mem_mean,mem_std,mem_min,mem_max,n_hashes
hrrr_control_2threads_intel,acorn,intel,200.17777777777778,5.131404596337452,190,209,1073.6,4.614207309052036,1068,1087,45
hrrr_control_2threads_intel,derecho,intel,326.97727272727275,5.423843296956176,318,340,1032.5,4.3160059055502025,1021,1042,44
hrrr_control_2threads_intel,gaeac6,intel,167.45833333333334,52.082568788714774,156,520,138156.72916666666,914062.5490723883,919,6339032,48
hrrr_control_2threads_intel,hera,intel,281.8125,3.885335678333771,277,289,1164.1875,8.833411949335696,1145,1181,16
hrrr_control_2threads_intel,hercules,intel,250.0625,5.357064335797397,245,276,24925.4375,164756.588529726,1128,1142612,48
hrrr_control_2threads_intel,orion,intel,254.6595744680851,5.677095842619781,251,283,24849.31914893617,162763.77436135002,1083,1116960,47
hrrr_control_2threads_intel,ursa,intel,115.88,3.4971708682351577,111,134,1161.02,2.36030091474874,1155,1166,50
hrrr_control_2threads_intel,wcoss2,intel,207.58333333333334,13.785334997485844,194,289,1014.2291666666666,49.743272648257374,973,1092,48
