test_name,machine,compiler,core_mean,core_std,core_min,core_max,mem_mean,mem_std,mem_min,mem_max,n_hashes
control_latlon_intel,acorn,intel,157.06382978723406,4.69228902756681,148,168,1580.872340425532,5.110164726676138,1573,1587,47
control_latlon_intel,derecho,intel,138.1,9.608445359277564,129,159,1532.1,22.298231120676636,1514,1558,10
control_latlon_intel,gaeac6,intel,99.0,4.253103442063089,92,115,140061.95652173914,934343.8104598911,1415,6339316,46
control_latlon_intel,hera,intel,144.3125,6.517264306636126,133,155,1723.0625,8.172101607349992,1697,1736,48
control_latlon_intel,hercules,intel,132.06521739130434,13.637207556963078,114,160,177848.39130434784,510230.9468519995,1605,1628868,46
control_latlon_intel,orion,intel,169.80434782608697,33.324411849585175,154,376,36502.36956521739,236760.23236602877,1583,1607380,46
control_latlon_intel,ursa,intel,153.0408163265306,147.49307316837988,95,755,47558.28571428572,317339.41677412484,2210,2223600,49
control_latlon_intel,wcoss2,intel,182.93617021276594,53.36356200846478,154,421,1586.1063829787233,4.714612080280805,1572,1593,47
