test_name,machine,compiler,core_mean,core_std,core_min,core_max,mem_mean,mem_std,mem_min,mem_max,n_hashes
cpld_warmstart_c24_9deg_intel,acorn,intel,57.04347826086956,6.275017562575264,45,70,2111.978260869565,2.7038173050935175,2107,2116,46
cpld_warmstart_c24_9deg_intel,derecho,intel,33.333333333333336,1.799470821684875,32,38,2074.866666666667,1.302013093343514,2072,2076,15
cpld_warmstart_c24_9deg_intel,gaeac6,intel,25.57777777777778,1.5446224735703493,24,32,144474.95555555556,944161.3988184038,2078,6337340,45
cpld_warmstart_c24_9deg_intel,hera,intel,42.093023255813954,1.6735185842491362,40,49,2256.3488372093025,4.694899567515353,2249,2267,43
cpld_warmstart_c24_9deg_intel,hercules,intel,48.5,28.878096274589232,30,122,2236.5,5.7028258102647875,2224,2247,46
cpld_warmstart_c24_9deg_intel,orion,intel,61.24444444444445,24.150245204435162,46,125,2236.5333333333333,4.707827138249428,2224,2244,45
cpld_warmstart_c24_9deg_intel,ursa,intel,35.204081632653065,13.717354567354837,29,96,2208.4489795918366,1.7447686629104548,2204,2212,49
cpld_warmstart_c24_9deg_intel,wcoss2,intel,84.41304347826087,24.015343324130203,57,153,2110.1304347826085,2.18691762434079,2108,2119,46
