test_name,machine,compiler,core_mean,core_std,core_min,core_max,mem_mean,mem_std,mem_min,mem_max,n_hashes
rap_2threads_dyn32_phy32_gnu,derecho,gnu,395.1666666666667,2.208797835653571,392,401,860.6666666666666,1.3706888336847005,859,863,12
rap_2threads_dyn32_phy32_gnu,hera,gnu,395.3829787234043,38.10657434519173,362,454,848.5744680851063,4.200127745733496,840,858,47
rap_2threads_dyn32_phy32_gnu,hercules,gnu,226.2608695652174,25.307385643640515,207,339,837.804347826087,3.6369679998432805,831,845,46
rap_2threads_dyn32_phy32_gnu,ursa,gnu,149.48979591836735,3.007784684362061,146,157,735.4285714285714,3.5531676008879827,730,741,49
