test_name,machine,compiler,core_mean,core_std,core_min,core_max,mem_mean,mem_std,mem_min,mem_max,n_hashes
conus13km_debug_2threads_gnu,hera,gnu,470.55102040816325,95.50219483177897,332,553,1012.9183673469388,29.371781195771103,970,1052,49
conus13km_debug_2threads_gnu,hercules,gnu,486.9591836734694,167.87867136512529,316,1083,467502.32653061225,501507.98159685306,971,1035964,49
conus13km_debug_2threads_gnu,ursa,gnu,249.09302325581396,28.708563475603924,169,381,22382.39534883721,140788.4569039223,879,924124,43
