test_name,machine,compiler,core_mean,core_std,core_min,core_max,mem_mean,mem_std,mem_min,mem_max,n_hashes
cpld_control_qr_p8_intel,acorn,intel,499.76,6.173059749157359,491,516,3374.36,1.7291616465790685,3371,3377,25
cpld_control_qr_p8_intel,derecho,intel,497.2608695652174,9.87751068798735,482,530,2034.0,4.022663070879541,2029,2046,23
cpld_control_qr_p8_intel,gaeac6,intel,315.96,21.13937873574655,307,402,6338.84,0.3741657386775824,6338,6339,25
cpld_control_qr_p8_intel,hera,intel,680.5714285714286,10.478654388908806,667,699,2291.0,9.876156212740923,2269,2302,14
cpld_control_qr_p8_intel,hercules,intel,513.12,40.239201449995676,472,635,2277.24,6.266843969122943,2262,2289,25
cpld_control_qr_p8_intel,orion,intel,997.4583333333334,48.500093381054576,942,1151,2204.0833333333335,7.039742254833812,2191,2216,24
cpld_control_qr_p8_intel,ursa,intel,411.6296296296296,12.394627087039792,393,439,2356.4074074074074,6.623148561378969,2345,2370,27
cpld_control_qr_p8_intel,wcoss2,intel,513.64,9.114457380082113,502,535,2842.8,702.5090746744843,1994,3408,25
