test_name,machine,compiler,core_mean,core_std,core_min,core_max,mem_mean,mem_std,mem_min,mem_max,n_hashes
merra2_hf_thompson_intel,acorn,intel,281.35,6.654668690822652,266,292,1871.525,2.7733854161776503,1862,1875,40
merra2_hf_thompson_intel,derecho,intel,270.4166666666667,4.813963276162642,264,277,775880.9166666666,956558.9140200274,1857,1864672,12
merra2_hf_thompson_intel,gaeac6,intel,239.48717948717947,18.998437324757155,222,315,90663.23076923077,387509.6964133836,1709,1736740,39
merra2_hf_thompson_intel,hera,intel,294.85,12.12657602762817,269,317,2028.625,6.643630070437537,2010,2041,40
merra2_hf_thompson_intel,hercules,intel,332.05,179.06995481640328,248,1082,678182.875,933328.5476943478,1911,1939112,40
merra2_hf_thompson_intel,orion,intel,333.575,30.82031256601185,300,457,97337.275,421274.9374274622,1897,1912660,40
merra2_hf_thompson_intel,ursa,intel,250.5121951219512,134.20359942103258,198,847,64457.12195121951,396454.38012715883,2524,2541088,41
merra2_hf_thompson_intel,wcoss2,intel,370.575,34.069978889609864,333,492,1872.975,5.599851188498991,1863,1879,40
