test_name,machine,compiler,core_mean,core_std,core_min,core_max,mem_mean,mem_std,mem_min,mem_max,n_hashes
control_p8_rrtmgp_intel,acorn,intel,249.41666666666666,8.840990926778284,225,263,1912.0208333333333,3.9544727347559125,1906,1919,48
control_p8_rrtmgp_intel,derecho,intel,240.1,3.956710193526381,235,245,951052.0,1000494.7944577778,1897,1901996,10
control_p8_rrtmgp_intel,gaeac6,intel,177.45652173913044,73.22771379493456,145,451,139750.52173913043,934450.8301842732,1750,6339724,46
control_p8_rrtmgp_intel,hera,intel,249.375,22.05758903512696,225,378,2069.6041666666665,8.472080764621577,2047,2085,48
control_p8_rrtmgp_intel,hercules,intel,237.82608695652175,46.90667062148271,191,481,475813.60869565216,854559.5142837423,1961,1991552,46
control_p8_rrtmgp_intel,orion,intel,294.95652173913044,34.92401690129214,264,465,86936.80434782608,403049.1200664488,1929,1958976,46
control_p8_rrtmgp_intel,ursa,intel,189.30612244897958,62.66883997172248,155,508,55494.755102040814,370367.848323828,2560,2595160,49
control_p8_rrtmgp_intel,wcoss2,intel,301.2083333333333,60.07759462467289,247,567,1915.0625,5.7070551708744,1902,1922,48
