test_name,machine,compiler,core_mean,core_std,core_min,core_max,mem_mean,mem_std,mem_min,mem_max,n_hashes
conus13km_restart_gnu,derecho,gnu,135.2,1.3201731488169075,133,137,587.4,0.5070925528371082,587,588,15
conus13km_restart_gnu,hera,gnu,162.3953488372093,2.216169312808556,157,166,725.1627906976744,7.224067685960589,706,734,43
conus13km_restart_gnu,hercules,gnu,133.5,16.24499923053245,123,237,759.9565217391304,2.5643411260260134,755,766,46
conus13km_restart_gnu,ursa,gnu,210.26530612244898,219.23501236403484,99,763,581.2448979591836,3.288430554261993,570,587,49
