test_name,machine,compiler,core_mean,core_std,core_min,core_max,mem_mean,mem_std,mem_min,mem_max,n_hashes
cpld_control_p8_mixedmode_intel,acorn,intel,391.6875,8.34152965715982,373,409,3310.4583333333335,46.4313532796094,3197,3337,48
cpld_control_p8_mixedmode_intel,derecho,intel,356.9375,4.864411577981453,343,364,635323.5625,970140.2298693366,2021,2033072,16
cpld_control_p8_mixedmode_intel,gaeac6,intel,241.68085106382978,24.879803563269967,224,396,174806.72340425532,572628.3903888585,2007,2035284,47
cpld_control_p8_mixedmode_intel,hera,intel,704.125,33.41462604971893,662,820,2209.625,7.722928008293071,2189,2223,48
cpld_control_p8_mixedmode_intel,hercules,intel,541.625,85.80646828765299,460,946,765652.7916666666,1041922.7178903425,2144,2168036,48
cpld_control_p8_mixedmode_intel,orion,intel,1001.7083333333334,113.4552040821986,926,1722,89756.20833333333,424804.3677369398,2087,2107676,48
cpld_control_p8_mixedmode_intel,ursa,intel,404.0612244897959,17.5895425410305,371,451,46955.77551020408,313331.1166433512,2169,2195512,49
cpld_control_p8_mixedmode_intel,wcoss2,intel,443.8333333333333,67.68051774528254,389,855,3327.4375,48.33654458640143,3210,3353,48
