test_name,machine,compiler,core_mean,core_std,core_min,core_max,mem_mean,mem_std,mem_min,mem_max,n_hashes
cpld_2threads_p8_intel,acorn,intel,530.0625,192.60039175519694,433,996,3567.7708333333335,39.52927252713897,3441,3599,48
cpld_2threads_p8_intel,derecho,intel,801.8461538461538,8.355099778440257,793,819,856780.3846153846,1125076.3946882703,2218,2226692,13
cpld_2threads_p8_intel,gaeac6,intel,357.29787234042556,19.6534264006991,341,474,97100.36170212766,454912.3829124741,2199,2237864,47
cpld_2threads_p8_intel,hera,intel,648.4791666666666,49.40410422408644,602,770,2351.75,19.704735363477212,2307,2387,48
cpld_2threads_p8_intel,hercules,intel,607.0833333333334,153.47102205279367,489,1540,756659.4166666666,1130609.1332939116,2369,2423636,48
cpld_2threads_p8_intel,orion,intel,796.4791666666666,199.444760078311,689,1912,99210.58333333333,469655.5962002882,2282,2336576,48
cpld_2threads_p8_intel,ursa,intel,956.2857142857143,90.31242070354077,743,1211,64930.04081632653,433404.11959687225,2965,3036844,49
cpld_2threads_p8_intel,wcoss2,intel,594.5833333333334,212.9861481194966,451,1245,3603.8333333333335,40.26366998383745,3473,3625,48
