test_name,machine,compiler,core_mean,core_std,core_min,core_max,mem_mean,mem_std,mem_min,mem_max,n_hashes
cpld_control_noaero_p8_intel,acorn,intel,275.0,5.257029925382168,262,287,1916.0,1.1547005383792588,1914,1918,34
cpld_control_noaero_p8_intel,derecho,intel,290.4782608695652,10.638137077247514,280,320,1871.4347826086957,1.1609591237233634,1869,1874,23
cpld_control_noaero_p8_intel,gaeac6,intel,173.61764705882354,7.381445640959883,165,201,191564.41176470587,1086287.4180336106,1917,6339348,34
cpld_control_noaero_p8_intel,hera,intel,660.6521739130435,14.014955309668869,638,691,2102.3478260869565,5.122221602995835,2091,2112,23
cpld_control_noaero_p8_intel,hercules,intel,457.94117647058823,20.836944428572746,438,527,2044.9705882352941,4.98169554996938,2035,2053,34
cpld_control_noaero_p8_intel,orion,intel,953.4848484848485,33.450636402878445,910,1055,1992.1515151515152,4.711165010650297,1985,2001,33
cpld_control_noaero_p8_intel,ursa,intel,381.0833333333333,15.49631292552245,354,413,2086.25,13.006317146459489,2066,2107,36
cpld_control_noaero_p8_intel,wcoss2,intel,295.05882352941177,13.945654643022676,278,346,1890.1764705882354,44.33308538657156,1820,1924,34
