test_name,machine,compiler,core_mean,core_std,core_min,core_max,mem_mean,mem_std,mem_min,mem_max,n_hashes
control_p8.v2.sfc_intel,acorn,intel,187.33333333333334,4.5825756949558425,179,197,1855.4888888888888,2.2220201928367502,1849,1858,45
control_p8.v2.sfc_intel,derecho,intel,213.29268292682926,9.231045180365614,195,238,1808.8048780487804,1.9393234928077854,1804,1812,41
control_p8.v2.sfc_intel,gaeac6,intel,122.0,1.9460817152815562,116,126,137895.39583333334,914185.3807660986,1694,6339600,48
control_p8.v2.sfc_intel,hera,intel,174.47368421052633,1.8964417280976935,171,180,2011.1052631578948,3.8857965984696805,2005,2020,19
control_p8.v2.sfc_intel,hercules,intel,185.60416666666666,40.98299573867571,147,334,41445.270833333336,273930.9446618812,1895,1899756,48
control_p8.v2.sfc_intel,orion,intel,242.0,51.13962132794119,193,492,41887.14893617021,274247.1759245804,1875,1882028,47
control_p8.v2.sfc_intel,ursa,intel,170.96,128.6755070805978,125,657,2517.18,8.10313620313334,2504,2541,50
control_p8.v2.sfc_intel,wcoss2,intel,209.14583333333334,38.10399520200749,192,464,1801.25,49.1932792503635,1749,1861,48
